Price,Close,High,Low,Open,Volume
Ticker,HES,HES,HES,HES,HES
Date,,,,,
2024-04-01,152.6431427001953,152.80093738956433,149.49718067850108,150.93703088476613,1745800
2024-04-02,153.36305236816406,154.58593857549764,151.8344634191584,154.1717388233675,1457100
2024-04-03,154.02381896972656,154.29009564492728,152.88970154089495,154.12244441924707,1639500
2024-04-04,153.9646453857422,155.70035694041198,153.38279437508828,154.08299893146176,2805400
2024-04-05,155.2762908935547,155.562295670028,153.17570724877484,154.40845013463687,2037200
2024-04-08,153.61949157714844,156.10469039875952,153.61949157714844,155.76938794557674,1784300
2024-04-09,154.18161010742188,154.92125581734402,152.68260563663358,154.4380302509984,1468900
2024-04-10,155.80885314941406,155.9567762849168,153.51101847310363,153.72798243726217,1619000
2024-04-11,155.4636688232422,156.31179652302103,152.7910756495259,156.02580679724795,1082600
2024-04-12,151.09481811523438,157.04156786307888,150.35517247447632,156.71612197536984,2732000
2024-04-15,149.5267791748047,153.26446410434943,149.34927141889278,152.62342876236136,1718000
2024-04-16,148.18556213378906,150.157950893953,147.5543983324619,149.44788973644341,1229500
2024-04-17,148.7180938720703,150.17765712859673,147.91927894821552,148.1855405574139,1280600
2024-04-18,149.6845703125,150.0889135888406,148.46168395776166,149.6056729623752,1002800
2024-04-19,152.21910095214844,152.57413151310087,150.07904601232363,150.07904601232363,2551000
2024-04-22,154.07313537597656,155.07905780222447,149.81278371162094,151.55833683442236,1810800
2024-04-23,154.77333068847656,155.29601244619624,152.92915222437622,153.8364491443449,2446700
2024-04-24,156.93310546875,157.02185934515686,153.82658436133158,153.97452253680729,2363500
2024-04-25,159.22105407714844,159.73387928588718,156.22303026448344,157.79107546536946,2414100
2024-04-26,160.28616333007812,160.8581578475359,156.8344831733763,158.15597996467636,1933000
2024-04-29,160.8778839111328,161.7161400525562,159.3492797086029,159.8522333934569,1854600
2024-04-30,155.31573486328125,160.8778697244025,155.19738132282865,160.8778697244025,1671000
2024-05-01,154.60569763183594,156.75559416360926,152.7220627488097,154.66486688711308,4859100
