,close,high,low,open,volume,sma_20,rsi_14,macd,boll_high,boll_low,volume_ma_20,volume_spike,atr_14,daily_return,skewness,kurtosis
count,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,340.0,,
mean,223.59,225.86,221.14,223.39,58218602.22,223.26,54.48,0.98,228.11,218.97,58078604.44,1.02,4.62,0.0,,
std,17.32,17.03,17.25,17.31,39582413.64,16.74,15.83,3.48,17.19,18.05,18166167.34,0.54,1.65,0.02,,
min,172.42,182.21,169.21,171.95,23234700.0,180.86,16.45,-11.06,183.12,165.51,36973405.0,0.38,0.0,-0.09,,
25%,217.05,218.76,213.9,216.06,39435300.0,217.48,43.46,-1.07,221.89,211.45,45302320.0,0.71,3.81,-0.0,,
50%,225.97,227.5,223.64,225.39,47227600.0,225.87,52.94,1.28,229.29,222.16,54440445.0,0.91,4.59,0.0,,
75%,234.48,235.66,231.55,233.94,60882300.0,231.58,65.97,3.74,238.46,228.13,61940300.0,1.15,5.3,0.01,,
max,258.74,259.81,257.35,257.91,318679900.0,252.76,87.2,7.06,260.35,254.15,163224100.0,5.13,11.42,0.15,,
close,,,,,,,,,,,,,,,-0.6694101379000291,0.2716741953931021
high,,,,,,,,,,,,,,,-0.6610847150112151,0.2388032228248318
low,,,,,,,,,,,,,,,-0.6945882378315399,0.3041568410506845
open,,,,,,,,,,,,,,,-0.6815402220066367,0.22446955792444356
volume,,,,,,,,,,,,,,,4.041780777073567,20.111037276894784
sma_20,,,,,,,,,,,,,,,-0.7537396807524095,0.2685257638519021
rsi_14,,,,,,,,,,,,,,,-0.07567767921313338,-0.6058971858021316
macd,,,,,,,,,,,,,,,-0.6987766366053099,0.40044771759612763
boll_high,,,,,,,,,,,,,,,-0.7571381550576957,0.4452154550819545
boll_low,,,,,,,,,,,,,,,-0.7043649086470032,0.3526256746637779
volume_ma_20,,,,,,,,,,,,,,,1.7160543610501964,4.003619008726757
volume_spike,,,,,,,,,,,,,,,3.0861898228326283,15.048063134212661
atr_14,,,,,,,,,,,,,,,-0.0427710643767978,2.7346318977429065
daily_return,,,,,,,,,,,,,,,1.2864774373189765,24.301282405808333
